metric,year,value,unit,source
Corporate AI investment,2024,252.3,USD_billion,Stanford HAI AI Index 2025 Economy
Private AI investment growth,2024,44.5,percent,Stanford HAI AI Index 2025 Economy
Global AI investment growth,2024,26,percent,Stanford HAI AI Index 2025 Economy
Generative AI private investment,2024,33.9,USD_billion,Stanford HAI AI Index 2025 Economy
Generative AI investment growth,2024,18.7,percent,Stanford HAI AI Index 2025 Economy
Org AI adoption rate,2023,55,percent,Stanford HAI AI Index 2025 Economy
Org AI adoption rate,2024,78,percent,Stanford HAI AI Index 2025 Economy
GenAI in >=1 business function,2023,33,percent,Stanford HAI AI Index 2025 Economy
GenAI in >=1 business function,2024,71,percent,Stanford HAI AI Index 2025 Economy
US private AI investment,2024,109.1,USD_billion,Stanford HAI AI Index 2025 Economy
China private AI investment,2024,9.3,USD_billion,Stanford HAI AI Index 2025 Economy
UK private AI investment,2024,4.5,USD_billion,Stanford HAI AI Index 2025 Economy
